id,title,date_création,date_ajout,date_modification,type,duree,Chaine,resolution,Url,taille,vdeo,image,uuid,chanteur,producteur,content_type_id
1,AZAWAN,2015-12-15,2022-06-01,2022-06-01,music,2h9m,Bellewarmedia,720 p,https://www.youtube.com/watch?v=fmHJne3z6TQ&list=PL8GZnj3yMbWKqh4Lp8pP3bhlMzyL3t5Xk,200Mo,video/22/azawan.mp4,image/22/garmi-azawan.jpg,3f4f856312cc4944abc080bfa8eb2050,Garmi Abba,TvMauritanie,
2,ahlami,2022-04-04,2022-06-01,2022-06-01,music,4:17,Media show,720 p,https://www.youtube.com/watch?v=cBXGqpejpi4,100 Mo,video/22/Garmi_mint_abba___Ktelt_hlami.mp4,image/22/garmi-ahlami.jpg,d632ba5941f542ebb8ca2d3d42460661,Garmi Abba,Chingui Production,
3,Haoud Nabi,2017-09-11,2022-06-01,2022-06-01,music,7:05,BellwarMedia,720 p,https://www.youtube.com/watch?v=GV9GGHsAtgo,100 Mo,video/22/Dimi_Mint_Abba_7oudh_nebi.mp4,image/22/dimi3.jpg,350b0f3dbf6840aebbbd5dab898bb132,Dimi Abba,Mauritanie,
5,El Heilala,2015-12-15,2022-06-01,2022-06-01,music,8:44,BellwarMedia,720 p,https://www.youtube.com/watch?v=cXKjio32S9c,100 Mo,video/22/DIMI_EL_HEILAL_music_mauritania.mp4,image/22/dimi.jpg,948d0718d55a4d1b8eeb48f1df9e44db,Dimi,Mauritanie,
6,Waidelali Waidelal,2015-04-28,2022-06-01,2022-06-01,music,5:08,Bellewarmedia,720 p,https://www.youtube.com/watch?v=aWbhbhaq_mo,100 Mo,video/22/Waidalal_Waidalal_khalifa_ould_eidi_dimi_mint_abba.mp4,image/22/cherit.jpg,1e5982196d9c426180ca330af309f034,Khalifa Eida & Dimi Abba,TvMauritanie,
7,Hala thaghila,2010-04-01,2022-06-01,2022-06-01,music,9:22,BellwarMedia,720 p,https://www.youtube.com/watch?v=jrJL4PP7peo,100 Mo,video/22/dimi_mint_abba_7ala_theghila_music_mauritania.mp4,image/22/dimi2.jpg,e90f0069429c40cc927e8d285ed5d7c7,Dimi Abba,TvMauritanie,
8,Biladi,2022-04-04,2022-06-01,2022-06-01,music,5:32,RIM MEDIA SHOW,720 p,https://www.youtube.com/watch?v=FoWuJgNQg_4,100 Mo,video/22/Garmi_mint_Abba__Biladi.mp4,image/22/garmi.jpg,49282bfaf2f0445fb78f5f89929f9c46,Garmi Abba,RIM MEDIA SHOW,
9,Hsey lmoukhtar,2015-04-01,2022-06-01,2022-06-01,music,4:36,chenguiti alassala,720 p,https://www.youtube.com/watch?v=gTwgHubypGI,100 Mo,video/22/ديم_والنعمة_-_أحسي_المختار.mp4,image/22/ne3ma.jpg,e333a5c65b3646b6ae37eed5bd877b82,Nema mint chweikh,TvMauritanie,
10,Dikra al ghaliya,2022-07-29,2022-07-29,2022-07-29,music,3:50,sedoum,720 p,https://www.youtube.com/watch?v=plTgVx4cRZU,100 Mo,video/22/فيديو_كليب_سدوم_ذكرى_الغالية__sedoum_officel_2022_.mp4,image/22/dikra.jpg,b764671f597a4b96a519bcac4a079226,Sedoum,pro,
11,Ya Maghlah,2022-08-02,2022-08-02,2022-08-02,music,4:52,Zein Tv Mauritanie,720 p,https://www.youtube.com/watch?v=dkI2RSsKYdI,100 Mo,video/22/Mouna_Dendenni_-_Ya_Maghlah.mp4,image/22/ya_maghlah.jpg,0883058b52654ebcaf8f1bb2ddbdcb4d,Mouna Dendeni,Barick,
